"date","show","theatre","city","seat","rating","cast_vibe","music_vibe","stage_magic","story_feel","note","photo","color","source_photos","confidence","source_receipts"
"6/20/2018","Kinky Boots","Al Hirschfeld Theatre","New York, NY","","3.5","4","3","4","3","","","","","",""
"9/14/2018","Dear Evan Hansen","Music Box Theatre","New York, NY","","4.25","4","5","3","5","","","","","",""
"9/15/2018","My Fair Lady","Lincoln Center Theater At the vivian Beaumont","New York, NY","","3.75","3","5","4","3","","","","","",""
"9/15/2018","Carousel","Imperial Theatre","New York, NY","","2","1","3","3","1","","","","","",""
"10/13/2018","Les Miserables","Hippodrome Theatre","Baltimore, MD","","4.5","3","5","5","5","","","","","",""
"11/11/2018","Anastasia","The Kennedy Center","Washington, DC","","3.5","3","4","4","3","","","","","",""
"11/15/2018","Fiddler on the Roof","Hippodrome Theatre","Baltimore, MD","","3","3","3","3","3","","","","","",""
"5/8/2019","My Fair Lady","Lincoln Center Theater At the vivian Beaumont","New York, NY","","3.75","3","5","4","3","","","","","",""
"11/16/2019","Rent","National Theatre","Washington, DC","","4.75","4","5","5","5","","","","","",""
"9/3/2021","Broadway in the Park","The Filene Center at Wolf Trap","Vienna, VA","PRM-REAR AA5 & AA7","5","5","5","NA","NA","Physical tickets show the event, venue, date, and seats.","","#5B2C83","IMG_3541.HEIC","high — performance date, event, venue, and seats are visible on tickets",""
"11/6/2021","Waitress","Hippodrome Theatre","Baltimore, MD","","3.75","4","4","4","3","Playbill cover is visible inside the named theatre.","","#1F3B73","IMG_5082.HEIC","medium — show and theatre are visible; date uses HEIC capture metadata",""
"4/29/2022","Company","Bernard B. Jacobs Theatre","New York, NY","","4.5","5","5","4","4","","","","","",""
"5/3/2022","Harry Potter and the Cursed Child","Lyric Theatre","New York, NY","","3.75","3","3","5","4","","","","","",""
"5/5/2022","Moulin Rouge!","Al Hirschfeld Theatre","New York, NY","","3.25","4","3","4","2","","","","","",""
"5/8/2022","Six","Lena Horne Theatre","Seattle, WA","","3.25","4","4","2","3","","","","","",""
"1/27/2023","Ain't Too Proud","The 5th Avenue Theatre","Seattle, WA","","3","3","3","3","3","","","","","",""
"6/26/2024","Spring Awakening","The 5th Avenue Theatre","Seattle, WA","","2.5","2","2","3","3","","","","","",""
"5/7/2022","Sleep No More","McKittrick Hotel","New York, NY","","4.666666667","5","NA","5","4","","","","","",""
"7/1/2024","Disney's Frozen","Buell Theatre","Denver, CO","Orchestra C, Row B, Seat 16","4","4","3","5","4","Physical ticket shows the performance details.","","#2F6F9F","20240708_190015047_iOS.jpg","high — performance date, show, theatre, and seat are visible on ticket",""
