"date","show","theatre","city","seat","rating","cast_vibe","music_vibe","stage_magic","story_feel","price","note"
"2017-08-25","Cats","Neil Simon Theatre","New York, NY","Orchestra, MC, Row C, 2","4.5","3","4","4","3","$86","My first musical since moving to the U.S."
"2017-12-27","Anastasia","Broadhurst Theatre","New York, NY","","4.5","4","3","3","2","",""
"2017-12-29","Waitress","Ethel Barrymore Theatre","New York, NY","","4.5","4","3","3","3","",""
"2017-12-30","Charlie and the Chocolate Factory","Lunt-Fontanne Theatre","New York, NY","","4.5","3","3","3","3","",""
"2017-12-30","Wicked","Gershwin Theatre","New York, NY","","4.5","4","5","5","5","",""
"2018-01-01","Christmas Spectacular with Radio City Rockettes","Radio City Music Hall","New York, NY","","4.5","3","NA","4","2","",""
"2018-06-20","Kinky Boots","Al Hirschfeld Theatre","New York, NY","","3.5","4","3","4","3","",""
"2018-09-14","Dear Evan Hansen","Music Box Theatre","New York, NY","","4.25","4","5","3","5","",""
"2018-09-15","My Fair Lady","Lincoln Center Theater At the vivian Beaumont","New York, NY","","3.75","3","5","4","3","",""
"2018-09-15","Carousel","Imperial Theatre","New York, NY","","2","1","3","3","1","",""
"2018-10-13","Les Miserables","Hippodrome Theatre","Baltimore, MD","","4.5","3","5","5","5","",""
"2018-11-11","Anastasia","The Kennedy Center","Washington, DC","","3.5","3","4","4","3","",""
"2018-11-15","Fiddler on the Roof","Hippodrome Theatre","Baltimore, MD","","3","3","3","3","3","",""
"2019-05-08","My Fair Lady","Lincoln Center Theater At the vivian Beaumont","New York, NY","","3.75","3","5","4","3","$57",""
"2019-11-16","Rent","National Theatre","Washington, DC","","4.75","4","5","5","5","",""
"2021-09-03","Broadway in the Park","The Filene Center at Wolf Trap","Vienna, VA","PRM-REAR AA5 & AA7","5","5","5","NA","NA","$57","Renee Elise Goldsberry and Brian Stokes Mithchell "
"2021-10-14","Hadestown","The Kennedy Center","Washington, DC","","3.5","3","4","3","4","",""
"2021-11-06","Waitress","Hippodrome Theatre","Baltimore, MD","","3.75","4","4","4","3","$29",""
"2022-04-05","The Music Man","Winter Garden Theatre","New York, NY","Orchestra Left, Row A, Seat 13","3.25","4","3","3","3","$49",""
"2022-04-29","Company","Bernard B. Jacobs Theatre","New York, NY","","4.5","5","5","4","4","","Katrina and Patti <3"
"2022-05-03","Harry Potter and the Cursed Child","Lyric Theatre","New York, NY","","3.75","3","3","5","4","",""
"2022-05-05","Moulin Rouge!","Al Hirschfeld Theatre","New York, NY","","3.25","4","3","4","2","","Aaron Tveit surprisingly good!!"
"2022-05-07","Sleep No More","McKittrick Hotel","New York, NY","","4.666666667","5","NA","5","4","",""
"2022-05-08","Six","Lena Horne Theatre","Seattle, WA","","3.25","4","4","2","3","","OBC is amazing."
"2022-05-09","Into The Woods","St. James Theatre","New York, NY","","4.5","5","5","4","4","",""
"2022-09-22","Hamilton","Paramount Theatre","Seattle, WA","","4.75","4","5","5","5","$49",""
"2023-01-27","Ain't Too Proud","The 5th Avenue Theatre","Seattle, WA","","3","3","3","3","3","",""
"2023-02-24","Into The Woods","The 5th Avenue Theatre","Seattle, WA","","2.75","2","4","2","3","$35",""
"2023-12-08","MJ The Musical","Paramount Theatre","Seattle, WA","MF 1, EE, 6","3","3","3","3","3","$35",""
"2024-03-29","First Date","Theater and Performing Arts","Auburn, WA","","3","3","3","3","3","",""
"2024-06-26","Spring Awakening","The 5th Avenue Theatre","Seattle, WA","","2.5","2","2","3","3","$35",""
"2024-07-01","Disney's Frozen","Buell Theatre","Denver, CO","Orchestra C, Row B, Seat 16","4","4","3","5","4","$160",""
"2024-07-24","Company","Paramount Theatre","Seattle, WA","MF2, W, 10","3.75","3","4","4","4","$30",""
"2024-09-27","Funny Girl","Paramount Theatre","Seattle, WA","MF1, BB, 1","3","3","3","3","3","$31",""
"2024-12-10","Back to the Future","Paramount Theatre","Seattle, WA","MF4, Row P, Seat 7","2.75","2","2","4","3","$31","Show stopped for 40 minutes due to technical issue lol"
"2024-10-06","Camelot","Village Theatre","Issaquah, WA","Orcestra, C, 11","2.75","3","3","3","2","$20",""
"2024-11-29","Wicked","Paramount Theatre","Seattle, WA","MF3, A, 7","4.75","4","5","5","5","$31","Lucky me to get the lottery seat!"
"2024-12-15","Anastasia","Bainbridge Performing Arts","Bainbridge Island, WA","","3.25","3","4","3","3","",""
"2024-12-17","Back to the Future","Paramount Theatre","Seattle, WA","MF4, Row P, Seat 7","2.75","2","2","4","3","$0","Due to the incident I come back for free"
"2025-01-07","Kimberly Akimbo","Paramount Theatre","Seattle, WA","MF3, S, 8","2.75","3","2","3","3","$35",""
"2025-02-14","Hamilton","Paramount Theatre","Seattle, WA","MF4, Row P, Seat 6","4.75","4","5","5","5","$49",""
"2025-03-22","Cats","Shoreline Community College Theatre","Shoreline, WA","Row K, Seat 17","2.75","1","5","2","3","",""
"2025-03-28","Waitress","The 5th Avenue Theatre","Seattle, WA","Lower Right, Row X, Seat 16","3.25","3","4","3","3","",""
"2025-04-20","Life of Pi","The 5th Avenue Theatre","Seattle, WA","","3.333333333","3","NA","4","3","$20",""
"2025-04-30","Parade","The 5th Avenue Theatre","Seattle, WA","Row C, Seats 111 & 112","3.75","3","4","4","4","$39",""
"2025-05-07","Six","Paramount Theatre","Seattle, WA","MF4, Row N, Seats 9 & 10","3.5","3","5","3","3","$35",""
"2025-05-09","Six","Paramount Theatre","Seattle, WA","MF2, Row BB, Seats 3","3.5","3","5","3","3","$40",""
"2025-05-13","Sunset Blvd.","St. James Theatre","New York, NY","Balcony Left, Row B, Seats 31 & 33","4.75","5","5","5","4","$46","Was so amazed by this production"
"2025-05-14","Gypsy","Majestic Theatre","New York, NY","Right Orchestra, Row V, Seat 2","3.75","5","4","4","2","$74",""
"2025-05-15","Maybe Happy Ending","Belasco Theatre","New York, NY","Left Mezzanine, Row G, Seats 9 & 11","4","4","4","4","4","$74",""
"2025-05-16","Real Women Have Curves","James Earl Jones Theatre","New York, NY","","3.25","3","3","4","3","$39",""
"2025-05-17","Death Becomes Her","Lunt-Fontanne Theatre","New York, NY","Orchestra Right, Row N Seat 14 & Row Y Seat 18","4.25","5","4","5","3","$45",""
