date,show,theatre,city,seat,rating,cast_vibe,music_vibe,stage_magic,story_feel,price,note,,
8/25/2017,Cats,Neil Simon Theatre,"New York, NY","Orchestra, MC, Row C, 2",4.5,3,4,4,3,$86,My first musical since moving to the U.S.,,
12/27/2017,Anastasia,Broadhurst Theatre,"New York, NY",,4.5,4,3,3,2,,,,
12/29/2017,Waitress,Ethel Barrymore Theatre,"New York, NY",,4.5,4,3,3,3,,,,
12/30/2017,Charlie and the Chocolate Factory,Lunt-Fontanne Theatre,"New York, NY",,4.5,3,3,3,3,,,,
12/30/2017,Wicked,Gershwin Theatre,"New York, NY",,4.5,4,5,5,5,,,,
1/1/2018,Christmas Spectacular with Radio City Rockettes,Radio City Music Hall,"New York, NY",,4.5,3,NA,4,2,,,,
6/20/2018,Kinky Boots,Al Hirschfeld Theatre,"New York, NY",,3.5,4,3,4,3,,,,
9/14/2018,Dear Evan Hansen,Music Box Theatre,"New York, NY",,4.25,4,5,3,5,,,,
9/15/2018,My Fair Lady,Lincoln Center Theater At the vivian Beaumont,"New York, NY",,3.75,3,5,4,3,,,,
9/15/2018,Carousel,Imperial Theatre,"New York, NY",,2,1,3,3,1,,,,
10/13/2018,Les Miserables,Hippodrome Theatre,"Baltimore, MD",,4.5,3,5,5,5,,,,
11/11/2018,Anastasia,The Kennedy Center,"Washington, DC",,3.5,3,4,4,3,,,,
11/15/2018,Fiddler on the Roof,Hippodrome Theatre,"Baltimore, MD",,3,3,3,3,3,,,,
5/8/2019,My Fair Lady,Lincoln Center Theater At the vivian Beaumont,"New York, NY",,3.75,3,5,4,3,$57,,,
11/16/2019,Rent,National Theatre,"Washington, DC",,4.75,4,5,5,5,,,,
9/3/2021,Broadway in the Park,The Filene Center at Wolf Trap,"Vienna, VA",PRM-REAR AA5 & AA7,5,5,5,NA,NA,$57,Renee Elise Goldsberry and Brian Stokes Mithchell ,,
10/14/2021,Hadestown,The Kennedy Center,"Washington, DC",,3.5,3,4,3,4,,,,
11/6/2021,Waitress,Hippodrome Theatre,"Baltimore, MD",,3.75,4,4,4,3,$29,,,
4/5/2022,The Music Man,Winter Garden Theatre,"New York, NY","Orchestra Left, Row A, Seat 13",3.25,4,3,3,3,$49,,,
4/29/2022,Company,Bernard B. Jacobs Theatre,"New York, NY",,4.5,5,5,4,4,,Katrina and Patti <3,,
5/3/2022,Harry Potter and the Cursed Child,Lyric Theatre,"New York, NY",,3.75,3,3,5,4,,,,
5/5/2022,Moulin Rouge!,Al Hirschfeld Theatre,"New York, NY",,3.25,4,3,4,2,,Aaron Tveit surprisingly good!!,,
5/7/2022,Sleep No More,McKittrick Hotel,"New York, NY",,4.666666667,5,NA,5,4,,,,
5/8/2022,Six,Lena Horne Theatre,"Seattle, WA",,3.25,4,4,2,3,,OBC is amazing.,,
5/9/2022,Into The Woods,St. James Theatre,"New York, NY",,4.5,5,5,4,4,,,,
9/22/2022,Hamilton,Paramount Theatre,"Seattle, WA",,4.75,4,5,5,5,$49,,,
1/27/2023,Ain't Too Proud,The 5th Avenue Theatre,"Seattle, WA",,3,3,3,3,3,,,,
2/24/2023,Into The Woods,The 5th Avenue Theatre,"Seattle, WA",,2.75,2,4,2,3,$35,,,
12/8/2023,MJ The Musical,Paramount Theatre,"Seattle, WA","MF 1, EE, 6",3,3,3,3,3,$35,,,
3/29/2024,First Date,Theater and Performing Arts,"Auburn, WA",,3,3,3,3,3,,,,
6/26/2024,Spring Awakening,The 5th Avenue Theatre,"Seattle, WA",,2.5,2,2,3,3,$35,,,
7/1/2024,Disney's Frozen,Buell Theatre,"Denver, CO","Orchestra C, Row B, Seat 16",4,4,3,5,4,$160,,,
7/24/2024,Company,Paramount Theatre,"Seattle, WA","MF2, W, 10",3.75,3,4,4,4,$30,,,
9/27/2024,Funny Girl,Paramount Theatre,"Seattle, WA","MF1, BB, 1",3,3,3,3,3,$31,,,
12/10/2024,Back to the Future,Paramount Theatre,"Seattle, WA","MF4, Row P, Seat 7",2.75,2,2,4,3,$31,Show stopped for 40 minutes due to technical issue lol,,
10/6/2024,Camelot,Village Theatre,"Issaquah, WA","Orcestra, C, 11",2.75,3,3,3,2,$20,,,
11/29/2024,Wicked,Paramount Theatre,"Seattle, WA","MF3, A, 7",4.75,4,5,5,5,$31,Lucky me to get the lottery seat!,,
12/15/2024,Anastasia,Bainbridge Performing Arts,"Bainbridge Island, WA",,3.25,3,4,3,3,,,,
12/17/2024,Back to the Future,Paramount Theatre,"Seattle, WA","MF4, Row P, Seat 7",2.75,2,2,4,3,$0,Due to the incident I come back for free,,
1/7/2025,Kimberly Akimbo,Paramount Theatre,"Seattle, WA","MF3, S, 8",2.75,3,2,3,3,$35,,,
2/14/2025,Hamilton,Paramount Theatre,"Seattle, WA","MF4, Row P, Seat 6",4.75,4,5,5,5,$49,,,
3/22/2025,Cats,Shoreline Community College Theatre,"Shoreline, WA","Row K, Seat 17",2.75,1,5,2,3,,,,
3/28/2025,Waitress,The 5th Avenue Theatre,"Seattle, WA","Lower Right, Row X, Seat 16",3.25,3,4,3,3,,,,
4/20/2025,Life of Pi,The 5th Avenue Theatre,"Seattle, WA",,3.333333333,3,NA,4,3,$20,,,
4/30/2025,Parade,The 5th Avenue Theatre,"Seattle, WA","Row C, Seats 111 & 112",3.75,3,4,4,4,$39,,,
5/7/2025,Six,Paramount Theatre,"Seattle, WA","MF4, Row N, Seats 9 & 10",3.5,3,5,3,3,$35,,,
5/9/2025,Six,Paramount Theatre,"Seattle, WA","MF2, Row BB, Seats 3",3.5,3,5,3,3,$40,,,
5/13/2025,Sunset Blvd.,St. James Theatre,"New York, NY","Balcony Left, Row B, Seats 31 & 33",4.75,5,5,5,4,$46,Was so amazed by this production,,
5/14/2025,Gypsy,Majestic Theatre,"New York, NY","Right Orchestra, Row V, Seat 2",3.75,5,4,4,2,$74,,,
5/15/2025,Maybe Happy Ending,Belasco Theatre,"New York, NY","Left Mezzanine, Row G, Seats 9 & 11",4,4,4,4,4,$74,,,
5/16/2025,Real Women Have Curves,James Earl Jones Theatre,"New York, NY",,3.25,3,3,4,3,$39,,,
5/17/2025,Death Becomes Her,Lunt-Fontanne Theatre,"New York, NY","Orchestra Right, Row N Seat 14 & Row Y Seat 18",4.25,5,4,5,3,$45,,,
5/21/2025,Cabaret,August Wilson Theatre,"New York, NY","Orchestra 4, Row H, Seats 207 & 208",4.25,5,4,4,4,$99,,,
5/22/2025,Sexual Misconduct of the Middle Classes,Minetta Lane Theatre,"New York, NY","Orchestra Left, Row P, Seat 109",3.666666667,5,NA,2,4,$35,,,
5/22/2025,Othello,Ethel Barrymore Theatre,"New York, NY","Center Orchestra, Row N, Seat 104",3.333333333,5,NA,3,2,,,,
5/23/2025,"Hugh Jackman: From New York, With Love",Radio City Music Hall,"New York, NY",,4,5,4,3,NA,,,,
